#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Giardia intestinalis	5741	PRJEB32663	549637	Protists	Other Protists	11.5573	46.1	GCA_902209425.1	-	CABITZ01	3388	-	-	2019/08/06	2019/08/06	Scaffold	UTRECHT UNIVERSITY	SAMEA5618880
Candida albicans A20	1182533	PRJNA165025	165025	Fungi	Ascomycetes	14.553	33.6	GCA_000447575.1	-	AVAX01	71	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974106
Aspergillus fumigatus	746128	PRJNA388488	388488	Fungi	Ascomycetes	29.4786	49.2	GCA_002234955.1	-	NKHT01	883	9730	9549	2017/07/28	2017/07/28	Contig	University of Montreal	SAMN07177964
Saccharomyces cerevisiae YJM451	502869	PRJNA189858	189858	Fungi	Ascomycetes	12.1525	38.4159	GCA_000976005.2	chromosome I:CP004421.2; chromosome II:CP004625.2; chromosome III:CP006342.2; chromosome IV:CP004671.2; chromosome V:CP004765.1; chromosome VI:CP004901.2; chromosome VII:CP005205.2; chromosome VIII:CP006130.2; chromosome IX:CP004993.2; chromosome X:CP005125.2; chromosome XI:CP005302.1; chromosome XII:CP006446.1; chromosome XIII:CP005403.2; chromosome XIV:CP005505.2; chromosome XV:CP005599.2; chromosome XVI:CP006222.2; plasmid 2 micron:CP004511.1; mitochondrion MT:CP006485.1	-	18	6632	5405	2015/02/23	2015/04/09	Chromosome	Duke University	SAMN01923124
Zea mays	4577	PRJEB31061	600447	Plants	Land Plants	2224.9	46.6603	GCA_902167135.1	chromosome 1:LR621998.1; chromosome 2:LR621999.1; chromosome 3:LR622000.1; chromosome 4:LR622001.1; chromosome 5:LR622002.1; chromosome 6:LR622003.1; chromosome 7:LR622004.1; chromosome 8:LR622005.1; chromosome 9:LR622006.1; chromosome 10:LR622007.1	CABHLI01	1331	-	-	2020/01/10	2020/01/10	Chromosome	MaizeGDB	SAMEA5313300
Schizosaccharomyces pombe	4896	PRJNA527756	527756	Fungi	Ascomycetes	13.0195	36	GCA_006386245.1	-	SNRN01	15	-	-	2019/06/24	2019/06/24	Contig	Uppsala University	SAMN11159120
Triticum aestivum	4565	PRJEB35709	599901	Plants	Land Plants	14084.1	42.8	GCA_902810645.1	-	CADDYN01	1065576	-	-	2020/03/12	2020/03/12	Scaffold	EI	SAMEA6374022
Oryza sativa Japonica Group	39947	PRJNA427870	427870	Plants	Land Plants	379.626	43.5414	GCA_003865235.1	chromosome 1:CM012041.1; chromosome 2:CM012042.1; chromosome 3:CM012043.1; chromosome 4:CM012044.1; chromosome 5:CM012045.1; chromosome 6:CM012046.1; chromosome 7:CM012047.1; chromosome 8:CM012048.1; chromosome 9:CM012049.1; chromosome 10:CM012050.1; chromosome 11:CM012051.1; chromosome 12:CM012052.1	PKRW01	115	-	-	2018/12/05	2018/12/06	Chromosome	Chinese Academy of Agricultural Sciences	SAMN08275267
Arabidopsis thaliana	3702	PRJEB23084	430541	Plants	Land Plants	119.75	36.1	GCA_900303345.1	-	OMOK01	78	-	-	2018/03/09	2018/03/09	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104665749
Hordeum vulgare	4513	PRJEB13020	340103	Plants	Land Plants	9788.86	-	GCA_900075435.2	-	FJWB02	72295	-	-	2016/08/25	2016/10/17	Scaffold	IBSC	SAMEA3903302
Arabidopsis thaliana	3702	PRJEB23977	438629	Plants	Land Plants	119.167	36.1	GCA_900243945.1	-	OFAM01	59	-	-	2018/03/19	2018/03/19	Contig	SALK INSTITUTE FOR BIOLOGICAL STUDIES	SAMEA104444962
Hordeum vulgare subsp. vulgare	112509	PRJNA523807	523807	Plants	Land Plants	10.2452	42.8	GCA_012180865.1	-	SJRV01	1000	-	-	2020/04/06	2020/04/06	Contig	The Sainsbury Laboratory	SAMN10987591
Triticum aestivum	4565	PRJEB35709	599901	Plants	Land Plants	14471.4	41.6	GCA_902810685.1	-	CADDYY01	1201712	-	-	2020/03/12	2020/03/12	Scaffold	EI	SAMEA6374021
Oryza sativa aus subgroup	1736659	PRJNA315689	315689	Plants	Land Plants	388.175	43.5176	GCA_001952365.3	chromosome 1:CM007627.2; chromosome 2:CM007628.2; chromosome 3:CM007629.2; chromosome 4:CM007630.2; chromosome 5:CM007631.2; chromosome 6:CM007632.2; chromosome 7:CM007633.2; chromosome 8:CM007634.2; chromosome 9:CM007635.2; chromosome 10:CM007636.2; chromosome 11:CM007637.2; chromosome 12:CM007638.2	LWDA02	139	-	-	2017/01/11	2020/01/06	Chromosome	University of Arizona	SAMN04568482
Schizosaccharomyces pombe	4896	PRJNA527756	527756	Fungi	Ascomycetes	13.0005	36	GCA_006386405.1	-	SNRL01	22	-	-	2019/06/24	2019/06/24	Contig	Uppsala University	SAMN11159122
Zea mays	4577	PRJEB31061	600447	Plants	Land Plants	2124.54	46.8797	GCA_902167065.1	chromosome 1:LR612888.1; chromosome 2:LR612889.1; chromosome 3:LR612890.1; chromosome 4:LR612891.1; chromosome 5:LR612892.1; chromosome 6:LR612893.1; chromosome 7:LR612894.1; chromosome 8:LR612895.1; chromosome 9:LR612896.1; chromosome 10:LR612897.1	CABHKY01	282	-	-	2020/01/10	2020/01/10	Chromosome	MaizeGDB	SAMEA5313308
Saccharomyces cerevisiae YJM981	1294327	PRJNA189875	189875	Fungi	Ascomycetes	12.8972	38.6801	GCA_000976515.2	chromosome I:CP004438.2; chromosome II:CP004597.2; chromosome III:CP006359.2; chromosome IV:CP004688.2; chromosome V:CP004782.2; chromosome VI:CP004918.2; chromosome VII:CP005222.2; chromosome VIII:CP006147.2; chromosome IX:CP005010.2; chromosome X:CP005105.2; chromosome XI:CP005319.2; chromosome XII:CP006463.1; chromosome XIII:CP005420.2; chromosome XIV:CP005522.2; chromosome XV:CP005616.2; chromosome XVI:CP006239.2; plasmid 2 micron:CP004524.1; mitochondrion MT:CP006502.1	-	18	7457	5476	2015/02/23	2015/04/09	Chromosome	Duke University	SAMN01923141
Aspergillus fumigatus	746128	PRJNA592352	592352	Fungi	Ascomycetes	28.1724	49.7	GCA_012656115.1	-	JAAAQC01	1487	8938	8938	2020/04/22	2020/04/22	Scaffold	UNICAMP	SAMN13422809
Candida albicans A67	1182535	PRJNA165029	165029	Fungi	Ascomycetes	14.6882	33.7	GCA_000447515.1	-	AVAU01	64	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974108
Giardia intestinalis	5741	PRJEB32663	549637	Protists	Other Protists	12.0614	45.8	GCA_902221545.1	-	CABIUE01	3917	-	-	2019/08/06	2019/08/06	Scaffold	UTRECHT UNIVERSITY	SAMEA5618885
Trypanosoma cruzi Tula cl2	1206070	PRJNA169675	169675	Protists	Kinetoplasts	83.5112	51.1	GCA_000365225.1	-	AQHO01	45711	-	-	2013/04/15	2014/08/06	Scaffold	Kinetoplastid Genomes Consortium	SAMN02953848
Cryptosporidium parvum	5807	PRJNA315505	315505	Protists	Apicomplexans	9.03068	25.7	GCA_004337945.1	-	PVQD01	107	-	-	2019/03/11	2019/03/11	Scaffold	Public Health Wales (Microbiology)	SAMN08383021
Toxoplasma gondii CtCo5	1194599	PRJNA167493	167493	Protists	Apicomplexans	62.621	52.4	GCA_000278365.1	-	AKIR01	6177	-	-	2012/07/17	2014/08/06	Contig	J. Craig Venter Institute	SAMN02953818
Homo sapiens	9606	PRJNA1431	1431	Animals	Mammals	2863.65	41.1991	GCA_000002115.2	chromosome 1:CH003448.1; chromosome 2:CH003449.1; chromosome 3:CH003450.1; chromosome 4:CH003451.1; chromosome 5:CH003452.1; chromosome 6:CH003453.1; chromosome 7:CH003454.1; chromosome 8:CH003455.1; chromosome 9:CH003456.1; chromosome 10:CH003457.1; chromosome 11:CH003458.1; chromosome 12:CH003459.1; chromosome 13:CH003460.1; chromosome 14:CH003461.1; chromosome 15:CH003462.1; chromosome 16:CH003463.1; chromosome 17:CH003464.1; chromosome 18:CH003465.1; chromosome 19:CH003466.1; chromosome 20:CH003467.1; chromosome 21:CH003468.1; chromosome 22:CH003469.1; chromosome X:CH003470.1; chromosome Y:CH003471.1	AADD01	4940	-	-	2004/02/03	2014/08/11	Chromosome	Celera Genomics	SAMN02981219
Plasmodium falciparum NF54	5843	PRJNA400552	400552	Protists	Apicomplexans	23.4356	19.3	GCA_002831795.1	-	NYMT01	19	5587	5100	2017/12/11	2017/12/11	Scaffold	Institut Pasteur	SAMN07569994
Caenorhabditis elegans	6239	PRJEB4373	261621	Animals	Roundworms	101.169	35.8	GCA_000939815.1	-	-	3806	-	-	2014/09/24	2014/09/24	Contig	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1920834
Drosophila melanogaster	7227	PRJNA618654	618654	Animals	Insects	149.105	41.8594	GCA_015832445.1	chromosome X:CM027564.1; chromosome 2L:CM027565.1; chromosome 2R:CM027566.1; chromosome 3L:CM027567.1; chromosome 3R:CM027568.1; chromosome 4:CM027569.1	JAAWVR01	15	-	-	2020/12/08	2020/12/09	Chromosome	VetMedUni Vienna	SAMN14492294
Mus musculus	10090	PRJNA59879	59879	Animals	Mammals	2505.02	42.3	GCA_000185105.2	-	AEKQ02	2314	-	-	2011/01/03	2014/08/11	Scaffold	Broad Institute	SAMN02981292
Cryptococcus neoformans var. grubii AD2-60a	1230059	PRJNA174542	174542	Fungi	Basidiomycetes	18.6297	48	GCA_002215775.1	-	AMLG01	168	6862	6862	2017/07/07	2017/07/07	Scaffold	Broad Institute	SAMN01162748
Pyricularia oryzae	318829	PRJEB27137	474889	Fungi	Ascomycetes	41.8051	50.1	GCA_900474545.3	-	UEMB03	17	-	-	2018/06/20	2020/01/05	Contig	THE SAINSBURY LABORATORY	SAMEA4708260
Saccharomyces kudriavzevii	114524	PRJEB31099	522193	Fungi	Ascomycetes	11.7895	39.7664	GCA_900682665.1	chromosome 1:LR215935.1; chromosome 2:LR215936.1; chromosome 3:LR215937.1; chromosome 4:LR215938.1; chromosome 5:LR215939.1; chromosome 6:LR215940.1; chromosome 7:LR215941.1; chromosome 8:LR215942.1; chromosome 9:LR215943.1; chromosome 10:LR215944.1; chromosome 11:LR215945.1; chromosome 12:LR215946.1; chromosome 13:LR215947.1; chromosome 14:LR215948.1; chromosome 15:LR215949.1; chromosome 16:LR215950.1	-	16	-	-	2019/02/19	2019/02/19	Chromosome	UNIVERSITY OF VALENCIA	SAMEA5317484
Sus scrofa	9823	PRJEB2923	204401	Animals	Mammals	175.055	42.2558	GCA_900119615.2	chromosome X:LT634571.1; chromosome Y:LT634572.1	FPKY02	11	-	-	2016/11/21	2017/02/07	Chromosome	Wellcome Sanger Institute	SAMEA1095224
Canis lupus familiaris	9615	PRJEB31489	572806	Animals	Mammals	0.016129	39.4	GCA_902724045.1	chromosome 1:LR745072.1	-	1	-	-	2020/01/09	2020/01/09	Chromosome	CENTRE FOR GEOGENETICS	SAMEA6249896
Yarrowia lipolytica	4952	PRJNA370154	370154	Fungi	Ascomycetes	20.1787	49	GCA_003367865.1	-	QPFG01	352	7198	6750	2018/08/06	2018/08/10	Scaffold	DOE Joint Genome Institute	SAMN06296496
Phytophthora ramorum	164328	PRJNA177509	177509	Protists	Other Protists	40.4285	54.5	GCA_001933465.1	-	MLJF01	5378	-	-	2017/01/04	2017/01/04	Scaffold	University of Exeter	SAMN05823586
Clavispora lusitaniae	36911	PRJNA433226	433226	Fungi	Ascomycetes	11.9873	44.5	GCA_003675505.1	-	QOBD01	109	-	-	2018/10/23	2018/11/08	Scaffold	University of California, Riverside	SAMN08565651
Rhizopus oryzae	64495	PRJNA475137	475137	Fungi	Other Fungi	41.9709	34.9869	GCA_011801305.1	mitochondrion MT:CM022334.1	JAANRS01	13376	14254	14247	2020/03/31	2021/01/08	Scaffold	J Craig Venter Institute	SAMN14162307
Komagataella pastoris	4922	PRJEB12220	311185	Fungi	Ascomycetes	9.35815	41.1	GCA_900016595.1	-	FBUE01	207	-	-	2016/02/06	2016/02/06	Contig	Center for Biotechnology, Bielefeld University	SAMEA3719071
Saccharomyces pastorianus	27292	PRJNA522928	522928	Fungi	Ascomycetes	21.9046	39	GCA_013179775.1	-	DUWW01	956	-	-	2020/05/28	2020/05/28	Scaffold	University of Wisconsin-Madison	SAMN03174146
Aspergillus flavus	5059	PRJNA402039	402039	Fungi	Ascomycetes	37.0127	47.9	GCA_002443195.2	-	NWUI02	388	12634	12634	2017/10/04	2018/06/27	Scaffold	USDA ARS	SAMN07657127
Aspergillus niger	5061	PRJNA255851	255851	Fungi	Ascomycetes	35.3967	49.8	GCA_002740505.1	-	JPOR01	405	-	-	2017/10/31	2017/10/31	Contig	South China University of Technology	SAMN02929409
Parastagonospora nodorum	13684	PRJNA476481	476481	Fungi	Ascomycetes	38.6228	49.9	GCA_003498065.1	-	QVWA01	7095	-	-	2018/09/07	2018/09/07	Scaffold	Centre for Crop & Disease Management, Curtin University	SAMN09435517
Zymoseptoria tritici	1047171	PRJNA312067	312067	Fungi	Ascomycetes	37.5177	52.2	GCA_003611065.1	-	LSTX01	1294	-	-	2018/10/03	2018/10/03	Scaffold	Max Planck Institute for Evolutionary Biology	SAMN04494880
Oryza rufipogon	4529	PRJEB29274	514645	Plants	Land Plants	0.429589	43.3	GCA_900609205.1	-	UXBM01	129	-	-	2019/01/10	2019/01/10	Contig	HUAZHONG AGRICULTRAL UNIVERSITY	SAMEA1531244
Botrytis cinerea	40559	PRJNA624742	624742	Fungi	Ascomycetes	41.2823	42.6	GCA_015148945.1	-	JACVGD01	2601	-	-	2020/10/30	2020/10/30	Contig	INRAE	SAMN14582867
Aspergillus oryzae	5062	PRJDB7763	588985	Fungi	Ascomycetes	37.7822	47.3	GCA_009686485.1	-	BIYX01	85	-	-	2019/11/13	2019/11/13	Scaffold	Tokyo Institute of Technology	SAMD00154438
Fusarium oxysporum f. sp. lini	120040	PRJNA630722	630722	Fungi	Ascomycetes	47.9544	48.5088	GCA_013423265.1	chromosome 1:CM024010.1; chromosome 2:CM024011.1; chromosome 3:CM024012.1; chromosome 4:CM024013.1; chromosome 5:CM024014.1; chromosome 6:CM024015.1; chromosome 7:CM024016.1; chromosome 8:CM024017.1; chromosome 9:CM024018.1; chromosome 10:CM024019.1; chromosome 11:CM024020.1; chromosome 12:CM024021.1; chromosome 13:CM024022.1; chromosome 14:CM024023.1; chromosome 15:CM024024.1; chromosome 16:CM024025.1; chromosome 17:CM024026.1; chromosome 18:CM024027.1; chromosome 19:CM024028.1; chromosome 20:CM024029.1	JABJUB01	185	-	-	2020/07/17	2020/07/21	Chromosome	St. Petersburg University	SAMN14843945
Verticillium dahliae	27337	PRJNA576642	576642	Fungi	Ascomycetes	34.0568	54.6	GCA_011033005.1	-	WNXI01	1930	-	-	2020/02/27	2020/02/27	Scaffold	UCD	SAMN13000026
Cryphonectria parasitica	5116	PRJNA644891	644891	Fungi	Ascomycetes	42.7988	51.3	GCA_014850995.1	-	JACWUJ01	1157	-	-	2020/10/05	2020/10/19	Scaffold	Swiss Federal Research Institute WSL	SAMN15482022
Penicillium chrysogenum KF-25	1218708	PRJNA172002	172002	Fungi	Ascomycetes	29.9175	49	GCA_000816005.1	-	AZRB01	194	-	-	2015/01/07	2015/01/08	Scaffold	Key Laboratory of Agricultural and Environmental Microbiology,Wuhan Institute of Virology, Chinese Academy of Sciences	SAMN02147003
Heliconius melpomene meriana	1608924	PRJEB8011	288364	Animals	Insects	233.711	36	GCA_900068635.1	-	FASB01	327508	-	-	2015/11/29	2015/11/29	Scaffold	University of Cambridge, UK	SAMEA3670555
Dothistroma septosporum	64363	PRJNA381823	381823	Fungi	Ascomycetes	42.273	50.2	GCA_002236925.2	-	NCLD02	7461	-	-	2017/07/28	2019/04/09	Scaffold	Massey University	SAMN06689751
Fusarium fujikuroi	5127	PRJNA231623	231623	Fungi	Ascomycetes	43.0961	48.7	GCA_001023045.1	-	JRVF01	835	15088	14830	2015/06/09	2015/06/09	Scaffold	University of Milan	SAMN03075939
Aureobasidium pullulans	5580	PRJNA488010	488010	Fungi	Ascomycetes	28.0431	50.6	GCA_004917255.1	-	QZAM01	652	10669	10669	2019/04/26	2019/04/26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN10031619
Saccharomyces uvarum	230603	PRJNA522928	522928	Fungi	Ascomycetes	11.7788	40.1	GCA_013179965.1	-	DUXG01	1757	-	-	2020/05/28	2020/05/28	Scaffold	University of Wisconsin-Madison	SAMN02427239
Heliconius timareta	101932	PRJEB8011	288364	Animals	Insects	303.595	32.1	GCA_900068015.1	-	FATT01	299544	-	-	2015/11/29	2015/11/29	Scaffold	University of Cambridge, UK	SAMEA1919254
Tropheus sp. 'brichardi kipili' AB-2019	2591307	PRJNA550295	550295	Animals	Other Animals	694.495	40.4	GCA_015110695.1	-	VUXF01	61897	-	-	2020/10/29	2020/10/29	Scaffold	"CICHLID~X"	SAMN12124083
Microbotryum lychnidis-dioicae	288795	PRJEB11006	328110	Fungi	Basidiomycetes	23.6467	56.2	GCA_900016695.1	-	CZCF01	3725	-	-	2016/07/08	2016/07/08	Scaffold	Laboratoire des Interactions Plantes Micro-Organismes, INRA, France	SAMEA3578275
Wallemia ichthyophaga	245174	PRJNA527765	527765	Fungi	Basidiomycetes	9.55696	45.4	GCA_004918745.1	-	SPOJ01	255	4118	4118	2019/04/26	2019/04/26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN11175822
Neurospora discreta	29879	PRJNA487060	487060	Fungi	Ascomycetes	37.271	49.4	GCA_009803905.1	-	RAMW01	1121	-	-	2019/12/27	2019/12/27	Scaffold	University of California, Berkeley	SAMN09910563
Corynespora cassiicola	59586	PRJNA428435	428435	Fungi	Ascomycetes	42.4388	51.6	GCA_002975875.1	-	PORU01	6533	-	-	2018/03/07	2018/03/07	Contig	Universite Clermont Auvergne (UCA)	SAMN08330696
Cyclospora cayetanensis	88456	PRJNA437975	437975	Protists	Apicomplexans	44.3425	51.9	GCA_003945055.1	-	RDRM01	1420	-	-	2018/12/13	2018/12/13	Scaffold	Center for Disease Control and Prevention	SAMN10261098
Rhodotorula mucilaginosa	5537	PRJNA625575	625575	Fungi	Basidiomycetes	20.0741	60.5	GCA_013036755.1	-	JABBIL01	319	-	-	2020/05/11	2020/05/11	Contig	Jet Propulsion Laboratory, California Institute of Technology	SAMN14603658
Plasmodiophora brassicae	37360	PRJNA515478	515478	Protists	Other Protists	24.0534	58.5	GCA_009726745.1	-	SGEM01	165	-	-	2019/12/02	2019/12/02	Scaffold	University of Guelph	SAMN10755742
[Candida] auris	498019	PRJNA655187	655187	Fungi	Ascomycetes	12.3496	45.1	GCA_014638805.1	-	JACIJZ01	131	-	-	2020/09/18	2020/10/19	Scaffold	University of Genoa	SAMN15723406
Wallemia mellicola	1708541	PRJNA527769	527769	Fungi	Basidiomycetes	9.72911	40	GCA_004918795.1	-	SPRH01	242	4295	4295	2019/04/26	2019/04/26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN11175859
Venturia inaequalis	5025	PRJNA407103	407103	Fungi	Ascomycetes	42.8078	-	GCA_003691075.1	-	QWYX01	9557	-	-	2018/10/26	2018/10/26	Scaffold	INRA	SAMN07816609
Phytophthora cactorum	29920	PRJNA380728	380728	Protists	Other Protists	67.8151	50.6	GCA_002081965.1	-	NBIJ01	15567	-	-	2017/04/07	2017/08/17	Contig	Sveriges lantbruksuniversite	SAMN06646533
Solanum verrucosum	315347	PRJEB21115	472494	Plants	Land Plants	759.168	32.6	GCA_900185235.1	-	FYAE01	569872	-	-	2018/05/23	2018/05/23	Scaffold	Earlham Institute	SAMEA104077226
Saitozyma podzolica	1890683	PRJEB34750	596143	Fungi	Basidiomycetes	60.7815	59.8	GCA_902501385.1	-	CABVUD01	405	-	-	2019/12/16	2019/12/16	Scaffold	UNIVERSITY OF NOTTINGHAM	SAMEA6056391
Colletotrichum siamense	690259	PRJNA554995	554995	Fungi	Ascomycetes	55.6231	52.6	GCA_011428115.1	-	WEZL01	4333	-	-	2020/03/18	2020/03/18	Scaffold	University of Agriculture, Faisalabad Pakistan.	SAMN12924921
Saccharomyces cerevisiae x Saccharomyces eubayanus	1684324	PRJNA522928	522928	Fungi	Ascomycetes	23.168	38.9	GCA_009666575.1	-	VZWY01	2493	-	-	2019/11/18	2019/11/18	Scaffold	University of Wisconsin-Madison	SAMN10973797
Saccharomyces eubayanus x Saccharomyces uvarum	1911678	PRJNA522928	522928	Fungi	Ascomycetes	15.43	39.7	GCA_009666535.1	-	VZWX01	3660	-	-	2019/11/18	2019/11/18	Scaffold	University of Wisconsin-Madison	SAMN10973919
Neurospora sp. CHS-2018c	2304651	PRJNA487060	487060	Fungi	Ascomycetes	59.5003	44.1	GCA_009804295.1	-	RAMK01	2742	-	-	2019/12/27	2019/12/27	Scaffold	University of California, Berkeley	SAMN09882625
Neurospora tetraspora	94610	PRJNA487060	487060	Fungi	Ascomycetes	43.6261	48.6	GCA_009802525.1	-	RAKR01	862	-	-	2019/12/27	2019/12/27	Scaffold	University of California, Berkeley	SAMN09882685
Isoodon obesulus obesulus	120740	PRJEB39788	690434	Animals	Mammals	1.50549	45.2	GCA_904811875.1	-	CAJGMT01	1989	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321129
Orbilia oligospora	2813651	PRJNA526700	526700	Fungi	Ascomycetes	40.5891	43.4	GCA_011066925.1	-	WIPF01	451	11418	11961	2020/03/06	2020/03/06	Scaffold	Academia Sinica	SAMN11107056
Orbilia oligospora	2813651	PRJNA526691	526691	Fungi	Ascomycetes	40.4889	44.2	GCA_011066885.1	-	WIWS01	661	11725	12148	2020/03/06	2020/03/06	Scaffold	Academia Sinica	SAMN11107012
Isoodon obesulus obesulus	120740	PRJEB39788	690434	Animals	Mammals	1.50371	45.3	GCA_904811865.1	-	CAJGMR01	1996	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321130
Neurospora tetraspora	94610	PRJNA487060	487060	Fungi	Ascomycetes	43.502	48.7	GCA_009802105.1	-	RAKC01	656	-	-	2019/12/27	2019/12/27	Scaffold	University of California, Berkeley	SAMN09882701
Neurospora sp. CHS-2018c	2304651	PRJNA487060	487060	Fungi	Ascomycetes	54.6687	45.6	GCA_009801215.1	-	RAJU01	3096	-	-	2019/12/27	2019/12/27	Scaffold	University of California, Berkeley	SAMN09882709
Saccharomyces eubayanus x Saccharomyces uvarum	1911678	PRJNA522928	522928	Fungi	Ascomycetes	19.28	16.4	GCA_009666765.1	-	VZWV01	5951	-	-	2019/11/18	2019/11/18	Scaffold	University of Wisconsin-Madison	SAMN10973920
Saccharomyces cerevisiae x Saccharomyces eubayanus	1684324	PRJNA522928	522928	Fungi	Ascomycetes	22.2545	39	GCA_009666665.1	-	VZWD01	1428	-	-	2019/11/18	2019/11/18	Scaffold	University of Wisconsin-Madison	SAMN10973784
Colletotrichum siamense	690259	PRJNA554995	554995	Fungi	Ascomycetes	54.0845	52.4	GCA_011428095.1	-	WEZM01	4276	-	-	2020/03/18	2020/03/18	Scaffold	University of Agriculture, Faisalabad Pakistan.	SAMN12924922
Saitozyma podzolica	1890683	PRJEB34750	596143	Fungi	Basidiomycetes	33.5297	60.4	GCA_902501335.1	-	CABVTY01	262	-	-	2019/12/16	2019/12/16	Scaffold	UNIVERSITY OF NOTTINGHAM	SAMEA6056428
Phytophthora cactorum	29920	PRJNA318145	318145	Protists	Other Protists	121.526	51.5	GCA_010194725.1	-	WXXK01	5449	24180	24180	2020/02/05	2020/02/05	Contig	KMUST	SAMN04633454
Venturia inaequalis	5025	PRJNA407103	407103	Fungi	Ascomycetes	65.2402	-	GCA_003693145.1	-	QWXE01	10156	-	-	2018/10/26	2018/10/26	Scaffold	INRA	SAMN07816564
Wallemia mellicola	1708541	PRJNA527769	527769	Fungi	Basidiomycetes	9.80173	39.9	GCA_004919005.1	-	SPRX01	230	4304	4304	2019/04/26	2019/04/26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN11175843
[Candida] auris	498019	PRJNA655187	655187	Fungi	Ascomycetes	12.3503	45.1	GCA_014638895.1	-	JACIKD01	123	-	-	2020/09/18	2020/10/19	Scaffold	University of Genoa	SAMN15723402
Plasmodiophora brassicae	37360	PRJNA515478	515478	Protists	Other Protists	24.0529	58.5	GCA_009726835.1	-	SGER01	165	-	-	2019/12/02	2019/12/02	Scaffold	University of Guelph	SAMN10755737
Rhodotorula mucilaginosa	5537	PRJNA625575	625575	Fungi	Basidiomycetes	20.145	60.5	GCA_013036895.1	-	JABBIQ01	335	-	-	2020/05/11	2020/05/11	Contig	Jet Propulsion Laboratory, California Institute of Technology	SAMN14603651
Cyclospora cayetanensis	88456	PRJNA292682	292682	Protists	Apicomplexans	43.0104	51.9	GCA_002019905.1	-	MPGL01	1469	-	-	2017/03/06	2017/03/06	Scaffold	Centers for Disease Control and Prevention	SAMN05982183
Corynespora cassiicola	59586	PRJNA428435	428435	Fungi	Ascomycetes	42.6577	51.9	GCA_002975575.1	-	POQZ01	6107	-	-	2018/03/07	2018/03/07	Contig	Universite Clermont Auvergne (UCA)	SAMN08330717
Neurospora discreta	29879	PRJNA487060	487060	Fungi	Ascomycetes	37.3117	49.4	GCA_009803995.1	-	RANB01	1470	-	-	2019/12/27	2019/12/27	Scaffold	University of California, Berkeley	SAMN09910558
Wallemia ichthyophaga	245174	PRJNA527765	527765	Fungi	Basidiomycetes	9.51525	45.4	GCA_004918415.1	-	SPOL01	224	4132	4132	2019/04/26	2019/04/26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN11175820
Microbotryum lychnidis-dioicae	288795	PRJEB11006	328110	Fungi	Basidiomycetes	27.2484	55.3	GCA_900012385.1	-	CZCI01	4708	-	-	2016/07/08	2016/07/08	Scaffold	Laboratoire des Interactions Plantes Micro-Organismes, INRA, France	SAMEA3578603
Steatocranus sp. 'ultraslender' AB-2019	2591301	PRJNA550295	550295	Animals	Other Animals	712.551	40.3	GCA_015108535.1	-	VUQQ01	72014	-	-	2020/10/29	2020/10/29	Scaffold	"CICHLID~X"	SAMN12123903
Heliconius timareta timareta	573617	PRJEB8011	288364	Animals	Insects	216.727	33.4	GCA_900068795.1	-	FAUA01	312452	-	-	2015/11/29	2015/11/29	Scaffold	University of Cambridge, UK	SAMEA3670574
Saccharomyces uvarum	230603	PRJNA522928	522928	Fungi	Ascomycetes	11.5924	40.2	GCA_013265745.1	-	DUYS01	1770	-	-	2020/06/03	2020/06/03	Scaffold	University of Wisconsin-Madison	SAMN02427240
Aureobasidium pullulans	5580	PRJNA488010	488010	Fungi	Ascomycetes	27.8108	50.6	GCA_004917615.1	-	QZAY01	620	10333	10333	2019/04/26	2019/04/26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN10031604
Fusarium fujikuroi	5127	PRJNA231623	231623	Fungi	Ascomycetes	43.4998	48.8	GCA_001023065.1	-	JRVH01	2959	15226	15182	2015/06/09	2015/06/09	Scaffold	University of Milan	SAMN03075941
Heliconius melpomene malleti x Heliconius melpomene plesseni	1756247	PRJEB8011	288364	Animals	Insects	235.62	33.2	GCA_900068575.1	-	FARQ01	337126	-	-	2015/11/29	2015/11/29	Scaffold	University of Cambridge, UK	SAMEA3670548
Penicillium chrysogenum	5076	PRJNA659567	659567	Fungi	Ascomycetes	31.3155	49	GCA_015585855.1	-	JACTVK01	1591	-	-	2020/11/18	2020/11/18	Scaffold	Jet Propulsion Laboratory, California Institute of Technology	SAMN15915650
