#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Porcine associated porprismacovirus 10	2170117		0	Other	Smacoviridae	2.684	47.5	vertebrates	 Unknown:NC_030126.1/KT862225.1	2	2	2016/05/09	2018/08/13	Complete Genome
Mink bocavirus 1	2259808		0	Other	Parvoviridae	5.224	43.6	vertebrates	NC_030873.1/KU950356.1	4	4	2016/08/28	2018/08/13	Complete Genome
Grapevine asteroid mosaic associated virus	2169998		0	Other	Tymoviridae	6.719	65	land plants	NC_031692.1/KX354202.1	3	3	2016/10/25	2018/08/13	Complete Genome
Botrytis cinerea betaendornavirus 1	2169747		0	Other	Endornaviridae	11.557	38.1	fungi	NC_031752.1/KU923747.1	1	1	2016/11/02	2018/08/13	Complete Genome
Vicugna pacos polyomavirus 1	2169757		0	Other	Polyomaviridae	5.052	37.7	vertebrates	NC_034251.1/KU879245.1	5	5	2017/03/27	2018/08/13	Complete Genome
Mycobacterium phage Zakhe101	1698716		0	Other	Siphoviridae	69.653	65.5	bacteria	KT281796.1	123	123	2015/08/29	2019/05/10	Complete Genome
Visna-maedi virus	2169971		0	Other	Retroviridae	9.202	41.5	vertebrates	NC_001452.1/L06906.1	6	6	1993/05/17	2018/08/13	Complete Genome
Human associated huchismacovirus 3	2169936		0	Other	Smacoviridae	2.459	42.3	human	NC_039063.1/KP233178.1	2	2	2015/01/28	2018/08/24	Complete Genome
Lactobacillus phage P2	1928330		0	Other	Siphoviridae	77.937	39.2	bacteria	KY381600.1	98	96	2018/07/05	2018/07/05	Complete Genome
Crohivirus B	2169854		0	Other	Picornaviridae	7.085	38.9	vertebrates	 Unknown:NC_033819.1/KX644937.1	1	1	2017/02/19	2019/02/23	Complete Genome
Vibrio phage AS51	1434127		0	Other	Autographiviridae	42.542	43.5	bacteria	NC_047737.1/KF800937.1	34	34	2014/06/29	2020/12/21	Complete Genome
Yellow oat grass mosaic virus	2170240		0	Other	Potyviridae	9.292	45.5	land plants	 Unknown:NC_024471.1/KF984546.1	1	1	2014/07/08	2018/08/13	Complete Genome
Rhynchobatus djiddensis polyomavirus 1	2170102		0	Other	Polyomaviridae	3.962	43	vertebrates	 Unknown:NC_026244.1/KP264963.1	4	4	2015/01/20	2018/08/13	Complete Genome
Trematomus pennellii polyomavirus 1	2170103		0	Other	Polyomaviridae	6.219	46.1	vertebrates	 Unknown:NC_026944.1/KP768176.1	4	4	2015/04/20	2018/08/13	Complete Genome
Citrobacter phage CF1 DK-2017	2267237		0	Other	Drexlerviridae	50.339	42.6	bacteria	NC_047823.1/KY694971.1	87	87	2017/04/29	2020/12/21	Complete Genome
Lactococcus phage PLgW-1	1983536		0	Other	Siphoviridae	30.189	37.3	bacteria	KY888143.2	56	56	2018/07/07	2019/05/08	Complete Genome
Lactococcus phage PLgY-16	1983589		0	Other	Siphoviridae	29.342	37.4	bacteria	KY926698.2	-	55	2018/07/07	2019/05/08	Complete Genome
Lactococcus phage PLgY-30	1983590		0	Other	Siphoviridae	29.284	37.4	bacteria	KY926699.2	-	55	2018/07/07	2019/05/08	Complete Genome
Pseudomonas phage LP14	2234081		0	Other	Podoviridae	73.08	55	bacteria	MH356729.1	-	93	2018/07/07	2019/11/04	Complete Genome
Alteromonas phage JH01	2249314		0	Other	Siphoviridae	46.5	44.4	bacteria	MH445500.1	-	58	2018/07/07	2018/07/07	Complete Genome
Staphylococcus phage VB-SauS-SA2	2234082		0	Other	Siphoviridae	89.055	31.9	bacteria	MH356730.1	-	130	2018/07/07	2018/12/27	Complete Genome
Salmonella phage vB_SpuS_Sp4	2234083		0	Other	Siphoviridae	43.614	49.5	bacteria	MH358359.1	-	67	2018/07/07	2018/07/07	Complete Genome
Pseudomonas phage SCYZ1	2249467		0	Other	Podoviridae	47.475	52.7	bacteria	MH518298.3	62	62	2018/07/07	2019/05/16	Complete Genome
Enterococcus phage LY0323	2233540		0	Other	Siphoviridae	40.876	34.7	bacteria	MH375074.1	-	60	2018/07/07	2018/07/07	Complete Genome
Pasteurella phage AFS-2018a	2201988		0	Other	Myoviridae	33.296	39.5	bacteria	MH238466.1	-	44	2018/07/07	2018/07/07	Complete Genome
Pasteurella phage Pm86	2201742		0	Other	Siphoviridae	56.048	38.5	bacteria	MH238467.1	-	81	2018/07/07	2018/07/07	Complete Genome
Escherichia phage phi G17	2234086		0	Other	Podoviridae	68.27	43.5	bacteria	MH358458.1	-	78	2018/07/07	2018/07/07	Complete Genome
Escherichia phage vB_EcoP_S523	2233775		0	Other	Autographiviridae	39.825	48.8	bacteria	NC_047984.1/MH031343.1	45	45	2018/07/07	2020/12/21	Complete Genome
Escherichia phage LL5	2233992	PRJNA222858	222858	Other	Drexlerviridae	49.788	42.5	bacteria	NC_047985.1/MH491968.1	88	88	2018/07/07	2020/12/21	Complete Genome
Rhodococcus phage Alpacados	2201446		0	Other	Siphoviridae	46.493	58.9	bacteria	MH271291.1	68	66	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage AnnaSerena	2201432		0	Other	Siphoviridae	56.707	63.8	bacteria	MH271292.1	83	83	2018/07/07	2019/05/21	Complete Genome
Rhodococcus phage Bradshaw	2201447		0	Other	Siphoviridae	46.606	58.6	bacteria	MH271293.1	68	65	2018/07/07	2020/09/17	Complete Genome
Rhodococcus phage Bryce	2201448		0	Other	Siphoviridae	46.347	58.8	bacteria	MH271294.1	68	65	2018/07/07	2020/09/17	Complete Genome
Gordonia phage Ebert	2201426		0	Other	Siphoviridae	46.653	66.6	bacteria	MH271295.1	78	78	2018/07/07	2020/11/18	Complete Genome
Gordonia phage Emperor	2201427		0	Other	Siphoviridae	16.604	70.1	bacteria	MH271296.1	24	24	2018/07/07	2018/07/07	Complete Genome
Rhodococcus phage Erik	2201449		0	Other	Siphoviridae	46.429	58.5	bacteria	MH271297.1	69	66	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage Floof	2201433		0	Other	Siphoviridae	48.5	69	bacteria	MH271298.1	81	80	2018/07/07	2020/09/18	Complete Genome
Rhodococcus phage Gollum	2201450		0	Other	Siphoviridae	46.535	58.6	bacteria	MH271299.1	69	66	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage Hortus1	2201434		0	Other	Siphoviridae	63.119	64.6	bacteria	MH271300.1	118	114	2018/07/07	2020/09/18	Complete Genome
Microbacterium phage Krampus	2201435		0	Other	Siphoviridae	56.708	63.8	bacteria	NC_047986.1/MH271301.1	83	83	2018/07/07	2020/12/21	Complete Genome
Gordonia phage Margaret	2201428		0	Other	Siphoviridae	46.95	62.8	bacteria	MH271302.1	75	75	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage MementoMori	2201436		0	Other	Siphoviridae	55.572	70	bacteria	NC_047987.1/MH271303.1	97	96	2018/07/07	2020/12/21	Complete Genome
Microbacterium phage Metamorphoo	2201437		0	Other	Siphoviridae	54.148	68.5	bacteria	NC_047988.1/MH271304.1	93	93	2018/07/07	2020/12/21	Complete Genome
Gordonia phage Morrissey	2201429		0	Other	Siphoviridae	44.924	65.8	bacteria	MH271305.1	66	66	2018/07/07	2020/11/18	Complete Genome
Rhodococcus phage Nancinator	2201451		0	Other	Siphoviridae	45.936	58.6	bacteria	MH271306.1	68	65	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage OlinDD	2201438		0	Other	Siphoviridae	63.123	64.6	bacteria	MH271307.1	118	114	2018/07/07	2020/09/18	Complete Genome
Microbacterium phage Percival	2201439		0	Other	Siphoviridae	47.364	69.6	bacteria	MH271308.1	75	74	2018/07/07	2020/09/18	Complete Genome
Rhodococcus phage Phrankenstein	2201452		0	Other	Siphoviridae	46.54	58.6	bacteria	MH271309.1	69	66	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage Pioneer3	2201440		0	Other	Siphoviridae	62.954	64.6	bacteria	MH271310.1	118	114	2018/07/07	2020/09/18	Complete Genome
Rhodococcus phage Rasputin	2201453		0	Other	Siphoviridae	46.568	58.8	bacteria	MH271311.1	69	66	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage RobsFeet	2201442		0	Other	Siphoviridae	54.189	68.6	bacteria	NC_047989.1/MH271312.1	99	99	2018/07/07	2020/12/21	Complete Genome
Gordonia phage Suzy	2201430		0	Other	Siphoviridae	67.118	59.1	bacteria	NC_047990.1/MH271313.1	96	96	2018/07/07	2020/12/21	Complete Genome
Rhodococcus phage Swann	2201454		0	Other	Siphoviridae	46.596	58.6	bacteria	MH271314.1	69	66	2018/07/07	2020/09/17	Complete Genome
Rhodococcus phage Takoda	2201455		0	Other	Siphoviridae	46.807	58.7	bacteria	NC_048708.1/MH271315.1	70	67	2018/07/07	2020/12/21	Complete Genome
Microbacterium phage Tandem	2201443		0	Other	Siphoviridae	63.128	64.7	bacteria	MH271316.1	118	114	2018/07/07	2020/09/18	Complete Genome
Corynebacterium phage TouchMeNot	2201425		0	Other	Siphoviridae	40.526	60	bacteria	MH271317.2	54	54	2018/07/07	2020/09/18	Complete Genome
Gordonia phage Trine	2201431		0	Other	Siphoviridae	43.758	67.8	bacteria	NC_047991.1/MH271318.1	66	66	2018/07/07	2020/12/21	Complete Genome
Rhodococcus phage UhSalsa	2201445		0	Other	Siphoviridae	46.539	58.6	bacteria	MH271319.1	69	66	2018/07/07	2020/09/17	Complete Genome
Microbacterium phage Zeta1847	2201444		0	Other	Siphoviridae	47.921	71.4	bacteria	NC_047992.1/MH271320.1	76	75	2018/07/07	2020/12/21	Complete Genome
Microbacterium phage Quhwah	2201441		0	Other	Siphoviridae	53.549	68.8	bacteria	NC_047993.1/MH271321.1	95	95	2018/07/07	2020/12/21	Complete Genome
Mycobacterium phage Erk16	2234027		0	Other	Siphoviridae	64.877	59.6	bacteria	MH316562.1	89	89	2018/07/07	2018/07/07	Complete Genome
Mycobacterium phage Hookmount	2234028		0	Other	Siphoviridae	50.061	64.1	bacteria	MH316563.1	90	88	2018/07/07	2019/03/14	Complete Genome
Mycobacterium phage Koella	2234029		0	Other	Siphoviridae	54.118	61.5	bacteria	NC_051674.1/MH316564.1	96	95	2018/07/07	2021/02/03	Complete Genome
Mycobacterium phage Mortcellus	2234030		0	Other	Siphoviridae	69.8	67.5	bacteria	MH316565.1	103	103	2018/07/07	2020/11/17	Complete Genome
Gordonia phage Nedarya	2234025		0	Other	Siphoviridae	53.14	62	bacteria	MH316566.1	99	97	2018/07/07	2020/06/30	Complete Genome
Mycobacterium phage Phleuron	2234032		0	Other	Siphoviridae	68.527	66.4	bacteria	MH316568.1	100	100	2018/07/07	2020/11/17	Complete Genome
Rhodococcus phage Shuman	2234034		0	Other	Siphoviridae	46.544	58.6	bacteria	MH316569.1	70	67	2018/07/07	2020/09/17	Complete Genome
Mycobacterium phage Silvafighter	2234033		0	Other	Siphoviridae	43.243	66.3	bacteria	MH316570.1	74	74	2018/07/07	2020/09/18	Complete Genome
Klebsiella phage Mineola	2234047	PRJNA222858	222858	Other	Myoviridae	166.13	39.5	bacteria	MH333064.1	292	276	2018/07/07	2020/04/23	Complete Genome
Streptomyces phage Henoccus	2201346		0	Other	Siphoviridae	55.137	68.2	bacteria	MH229862.1	82	82	2018/07/07	2018/07/07	Complete Genome
Streptomyces phage JackieB	2201347		0	Other	Siphoviridae	54.912	68.2	bacteria	MH229863.1	82	82	2018/07/07	2018/07/07	Complete Genome
Streptomyces phage UNTPL	2201349		0	Other	Siphoviridae	54.495	68.3	bacteria	MH229864.1	81	81	2018/07/07	2018/07/07	Complete Genome
Streptomyces phage LazerLemon	2201348		0	Other	Siphoviridae	54.798	68.1	bacteria	MH229865.1	81	81	2018/07/07	2018/07/07	Complete Genome
Streptomyces phage Yosif	2201421		0	Other	Siphoviridae	50.129	66.1	bacteria	MH248947.1	78	78	2018/07/07	2020/11/17	Complete Genome
Escherichia phage SF	2234080		0	Other	Myoviridae	168.695	37.6	bacteria	MH359124.1	-	262	2018/07/07	2018/07/07	Complete Genome
Klebsiella phage ZCKP1	2201417		0	Other	Myoviridae	150.925	39.1	bacteria	NC_047994.1/MH252123.1	267	267	2018/07/07	2020/12/21	Complete Genome
Erwinia phage vB_EamM_Alexandra	2201424		0	Other	Myoviridae	266.532	50.1	bacteria	NC_047995.1/MH248138.1	345	345	2018/07/07	2020/12/21	Complete Genome
Escherichia phage Eco_BIFF	2175169		0	Other	Drexlerviridae	49.372	45.3	bacteria	NC_047996.1/MH285980.1	76	76	2018/07/07	2020/12/21	Complete Genome
Ruegeria phage vB_RpoS-V7	2218620		0	Other	Siphoviridae	59.573	64.1	bacteria	NC_052972.1/MH015249.1	84	84	2018/07/07	2021/02/15	Complete Genome
Ruegeria phage vB_RpoP-V12	2218611		0	Other	Podoviridae	74.675	47.9	bacteria	NC_049435.1/MH015250.1	88	85	2018/07/07	2020/12/21	Complete Genome
Ruegeria phage vB_RpoMi-V15	2218610		0	Other	Microviridae	4.248	57.7	bacteria	MH015251.1	4	4	2018/07/07	2018/07/07	Complete Genome
Ruegeria phage vB_RpoS-V18	2218619		0	Other	Siphoviridae	59.111	64	bacteria	NC_052970.1/MH015252.1	82	82	2018/07/07	2021/02/15	Complete Genome
Ruegeria phage vB_RpoP-V21	2218615		0	Other	Podoviridae	74.665	47.9	bacteria	MH015253.1	82	82	2018/07/07	2018/07/07	Complete Genome
Ruegeria phage vB_RpoS-V11	2218617		0	Other	Siphoviridae	59.549	64	bacteria	NC_052971.1/MH015254.1	82	82	2018/07/07	2021/02/15	Complete Genome
Ruegeria phage vB_RpoS-V10	2218616		0	Other	Siphoviridae	147.48	56.4	bacteria	MH015255.1	235	235	2018/07/07	2018/07/07	Complete Genome
Ruegeria phage vB_RpoP-V13	2218612		0	Other	Podoviridae	74.83	50.8	bacteria	NC_049436.1/MH015256.1	79	79	2018/07/07	2020/12/21	Complete Genome
Ruegeria phage vB_RpoS-V16	2218618		0	Other	Siphoviridae	61.382	63.6	bacteria	NC_052969.1/MH015258.1	83	83	2018/07/07	2021/02/15	Complete Genome
Ruegeria phage vB_RpoP-V17	2218614		0	Other	Podoviridae	74.665	47.9	bacteria	MH015259.1	82	82	2018/07/07	2018/07/07	Complete Genome
Xanthomonas phage phiLf2	2201344		0	Other	Inoviridae	6.372	60.2	bacteria	MH218848.1	11	11	2018/07/07	2018/07/07	Complete Genome
Xanthomonas phage phiXv2	2201472		0	Other	Inoviridae	6.564	59.6	bacteria	MH206183.1	-	12	2018/07/07	2018/07/07	Complete Genome
Xanthomonas phage phiLF	126989		0	Other	Inoviridae	6.062	59.9	bacteria	MH206184.1	-	10	2018/07/07	2018/07/07	Complete Genome
Pseudomonas phage PFP1	2201462		0	Other	Autographiviridae	40.914	55.8	bacteria	NC_047997.1/MH268168.1	45	45	2018/07/07	2020/12/21	Complete Genome
Mycobacterium phage Derek	2234026		0	Other	Myoviridae	156.199	64.7	bacteria	MH316561.1	262	229	2018/07/07	2020/11/18	Complete Genome
Mycobacterium phage ParkTD	2234031		0	Other	Myoviridae	155.006	64.8	bacteria	MH316567.1	266	234	2018/07/07	2020/11/18	Complete Genome
Phage 203	2048062		0	Other	Myoviridae	138.073	43.7	-	MG022439.1	219	213	2018/06/30	2018/06/30	Complete Genome
Phage 206	2048063		0	Other	Myoviridae	138.073	43.7	-	MG022440.1	219	213	2018/06/30	2018/06/30	Complete Genome
Mycobacterium phage Xerxes	1821279		0	Other	Siphoviridae	43.698	66.3	bacteria	KU935726.1	72	72	2016/04/03	2020/09/18	Complete Genome
Mycobacterium phage Pipsqueaks	1821540		0	Other	Siphoviridae	43.679	66.3	bacteria	NC_042055.1/KU935730.1	73	73	2016/04/03	2020/12/21	Complete Genome
Lactococcus phage 62606	2024340		0	Other	Siphoviridae	22.185	36.4	bacteria	MF443123.1	37	37	2018/07/09	2018/07/09	Complete Genome
Lactococcus phage 62402	2024338		0	Other	Siphoviridae	21.98	36	bacteria	MF443119.1	37	37	2018/07/09	2018/07/09	Complete Genome
Lactococcus phage 62403	2024339		0	Other	Siphoviridae	21.704	35.9	bacteria	MF443120.1	37	37	2018/07/09	2018/07/09	Complete Genome
Lactococcus phage 37203	2024335		0	Other	Siphoviridae	22.029	35.9	bacteria	MF443121.1	38	38	2018/07/09	2018/07/09	Complete Genome
Lactococcus phage 74001	2024341		0	Other	Siphoviridae	21.879	35.9	bacteria	MF443122.1	38	38	2018/07/09	2018/07/09	Complete Genome
Lactococcus phage 50504	2024337		0	Other	Siphoviridae	21.562	35.9	bacteria	MF443124.1	37	37	2018/07/09	2018/07/09	Complete Genome
Lactococcus phage 50102	2024336		0	Other	Siphoviridae	22.242	36	bacteria	MF443125.1	38	38	2018/07/09	2018/07/09	Complete Genome
Lactococcus phage 05802	2024334		0	Other	Siphoviridae	22.434	35.7	bacteria	MF443126.1	38	38	2018/07/09	2018/07/09	Complete Genome
Vibrio phage 24	1500712		0	Other	Myoviridae	44.395	45.4	bacteria	KJ572844.2	71	71	2014/05/25	2014/12/26	Complete Genome
Achromobacter phage JWDelta	1416008		0	Other	Podoviridae	73.659	54.3	bacteria	KF787094.1	89	89	2013/12/21	2014/02/28	Complete Genome
Pseudomonas phage MBL	1327768		0	Other	Autographiviridae	42.519	62.1	-	KC969441.1	-	-	2013/06/16	2014/03/07	Complete Genome
Vibrio phage H2 PGK-2017	2268914		0	Other	Siphoviridae	46.149	43.1	bacteria	KY658673.3	76	75	2017/03/29	2018/07/16	Complete Genome
Vibrio phage H2 SGB-2014	2268915		0	Other	Podoviridae	39.53	50.5	bacteria	KM612262.1	48	48	2014/12/05	2018/07/16	Complete Genome
Shigella phage Sf11 SMD-2017	2282196		0	Other	Siphoviridae	46.454	46	bacteria	MF158038.1	80	80	2017/10/01	2018/07/17	Complete Genome
Fusobacterium phage Funu2	1640978	PRJNA73477	73477	Other	Myoviridae	39.844	27.7	bacteria	-	71	71	2015/04/20	2015/04/20	Scaffold
Impatiens flower break virus	2170135		0	Other	Potyviridae	9.622	39.9	land plants	NC_030236.1/KU981084.1	1	1	2016/05/20	2018/08/13	Complete Genome
Barbacena virus Y	2170132		0	Other	Potyviridae	9.837	41.4	land plants	NC_030847.1/KU685505.1	1	1	2016/08/20	2018/08/13	Complete Genome
Whitefly-associated begomovirus 1	2169739		0	Other	Geminiviridae	2.609	48.4	land plants	 DNA A:NC_038967.1/KT099124.1	5	5	2015/10/27	2018/08/24	Complete Genome
Whitefly-associated begomovirus 2	2169740		0	Other	Geminiviridae	2.59	47.7	land plants	 DNA A:NC_038968.1/KT099125.1	5	5	2015/10/27	2018/08/24	Complete Genome
Whitefly-associated begomovirus 3	2169741		0	Other	Geminiviridae	2.629	46.4	land plants	 DNA A:NC_038969.1/KT099127.1	5	5	2015/10/27	2018/08/24	Complete Genome
Whitefly-associated begomovirus 4	2169742		0	Other	Geminiviridae	2.608	46.1	land plants	 DNA A:NC_038970.1/KT099128.1	5	5	2015/10/27	2018/08/24	Complete Genome
Whitefly-associated begomovirus 6	2169743		0	Other	Geminiviridae	2.638	47.7	land plants	 DNA A:NC_038971.1/KT099139.1	5	5	2015/10/27	2018/08/24	Complete Genome
Whitefly-associated begomovirus 7	2169744		0	Other	Geminiviridae	2.767	45.2	land plants	 DNA A:NC_038972.1/KT099156.1	6	6	2015/10/27	2018/08/24	Complete Genome
Organic Lake phycodnavirus 1	938081		0	Other	Phycodnaviridae	344.723	29.7	-	HQ704802.1	419	401	2011/04/05	2016/07/25	Chromosome
Organic Lake phycodnavirus 2	938082		0	Other	Phycodnaviridae	282.077	29.1	-	HQ704803.1	344	326	2011/04/05	2016/07/25	Chromosome
Organic Lake phycodnavirus	938083		0	Other	Phycodnaviridae	20.927	29.2	-	HQ704805.1	33	31	2011/04/05	2016/07/25	Chromosome
Citrobacter phage CF1 ERZ-2017	2267236		0	Other	Myoviridae	171.911	38.7	bacteria	NC_042067.1/MG250484.1	316	306	2017/12/18	2020/12/21	Complete Genome
Jatropha leaf curl Gujarat virus	2169734		0	Other	Geminiviridae	2.758	48.9	land plants	 DNA A:NC_038962.1/KM411359.1	6	6	2015/12/31	2018/08/24	Complete Genome
Feline bocaparvovirus 3	2259807		0	Other	Parvoviridae	5.407	44	vertebrates	NC_039044.1/KM017744.1	4	4	2014/08/11	2018/08/24	Complete Genome
Bat bocavirus WM40	2259810		0	Other	Parvoviridae	4.995	44.5	vertebrates	NC_039046.1/KC339251.1	4	4	2013/05/12	2019/06/04	Complete Genome
Bat bocavirus XM30	2259811		0	Other	Parvoviridae	4.832	42.2	vertebrates	NC_039047.1/KC339250.1	4	4	2013/05/12	2019/06/04	Complete Genome
Erythrura gouldiae polyomavirus 1	2169903		0	Other	Polyomaviridae	5.172	44.6	vertebrates	NC_039052.1/KT302407.1	6	6	2015/08/04	2018/08/24	Complete Genome
Lonchura maja polyomavirus 1	2169904		0	Other	Polyomaviridae	5.284	51.1	vertebrates	NC_039053.1/KX756154.1	6	6	2016/10/03	2018/08/24	Complete Genome
Camel associated drosmacovirus 1	2169876		0	Other	Smacoviridae	2.575	47.4	vertebrates	NC_039057.1/KM573769.1	3	3	2014/11/29	2018/08/24	Complete Genome
Camel associated drosmacovirus 2	2169877		0	Other	Smacoviridae	2.58	52.5	vertebrates	NC_039058.1/KM573774.1	3	3	2014/11/29	2018/08/24	Complete Genome
Chicken associated huchismacovirus 1	2169932		0	Other	Smacoviridae	2.408	42.1	vertebrates	NC_039059.1/KY086301.1	2	2	2017/01/08	2018/08/24	Complete Genome
Chicken associated huchismacovirus 2	2169933		0	Other	Smacoviridae	2.459	42.7	vertebrates	NC_039060.1/KY086300.1	2	2	2017/01/08	2018/08/24	Complete Genome
Camel associated porprismacovirus 1	2170105		0	Other	Smacoviridae	2.565	47.9	vertebrates	NC_039064.1/KM573772.1	3	3	2014/11/29	2018/08/24	Complete Genome
Camel associated porprismacovirus 2	2170106		0	Other	Smacoviridae	2.516	47.5	vertebrates	NC_039065.1/KM573770.1	2	2	2014/11/29	2018/08/24	Complete Genome
Camel associated porprismacovirus 3	2170107		0	Other	Smacoviridae	2.582	45.4	vertebrates	NC_039066.1/KM573771.1	2	2	2014/11/29	2018/08/24	Complete Genome
Camel associated porprismacovirus 4	2170108		0	Other	Smacoviridae	2.575	45.5	vertebrates	NC_039067.1/KM573775.1	2	2	2014/11/29	2018/08/24	Complete Genome
Chimpanzee associated porprismacovirus 1	2170109		0	Other	Smacoviridae	2.609	51.1	vertebrates	NC_039068.1/GQ351272.1	2	2	2010/01/13	2018/08/24	Complete Genome
Chimpanzee associated porprismacovirus 2	2170110		0	Other	Smacoviridae	2.64	49.1	vertebrates	NC_039069.1/GQ351273.1	6	6	2010/01/13	2018/08/24	Complete Genome
Porcine associated porprismacovirus 4	2170120		0	Other	Smacoviridae	2.403	50.6	vertebrates	NC_039071.1/KJ577810.1	2	2	2014/08/30	2018/08/24	Complete Genome
Erwinia phage LS-2018a	2282175	PRJNA272881	272881	Other	Myoviridae	59.759	51	-	 Unknown:CP013974.1	-	-	2018/07/24	2018/07/24	Complete Genome
Mycobacterium phage Crucio	2234072		0	Other	Siphoviridae	53.256	63.5	bacteria	MH338234.1	95	95	2018/07/21	2019/03/14	Complete Genome
Mycobacterium phage Dublin	2234073		0	Other	Siphoviridae	50.28	60.9	bacteria	MH338235.1	88	87	2018/07/21	2020/06/16	Complete Genome
Mycobacterium phage Ebony	2234074		0	Other	Siphoviridae	52.152	63.8	bacteria	MH338236.1	99	98	2018/07/21	2019/03/14	Complete Genome
Mycobacterium phage Joselito	2234075		0	Other	Siphoviridae	52.347	63.7	bacteria	MH338237.1	98	97	2018/07/21	2019/03/14	Complete Genome
Mycobacterium phage Michley	2234076		0	Other	Siphoviridae	51.527	63.7	bacteria	NC_052445.1/MH338238.1	92	92	2018/07/21	2021/01/23	Complete Genome
Mycobacterium phage Mryolo	2234077		0	Other	Siphoviridae	50.505	64	bacteria	NC_052447.1/MH338239.1	87	87	2018/07/21	2021/01/23	Complete Genome
Mycobacterium phage Sabia	2234078		0	Other	Siphoviridae	50.855	64	bacteria	MH338240.1	90	87	2018/07/21	2019/03/14	Complete Genome
Mycobacterium phage Tarynearal	2234079		0	Other	Siphoviridae	51.143	60.9	bacteria	MH338241.1	90	89	2018/07/21	2020/06/16	Complete Genome
Escherichia phage vB_EcoM_JB75	2234085		0	Other	Myoviridae	167.208	35.3	bacteria	MH355584.1	287	277	2018/07/21	2018/07/21	Complete Genome
Escherichia phage Halfdan	2234092		0	Other	Siphoviridae	42.858	53.7	bacteria	MH362766.1	-	56	2018/07/21	2021/02/01	Complete Genome
Escherichia phage SRT7	2268589		0	Other	Autographiviridae	39.883	50.5	bacteria	NC_048002.1/MH370477.2	47	47	2018/07/21	2020/12/21	Complete Genome
Pseudomonas phage SRT6	2268590		0	Other	Myoviridae	91.364	49.3	bacteria	MH370478.1	-	170	2018/07/21	2018/07/21	Complete Genome
Mycobacterium phage Morty	2250362		0	Other	Siphoviridae	68.878	66.5	bacteria	MH371125.1	102	102	2018/07/21	2020/11/17	Complete Genome
Microbacterium phage VitulaEligans	2250353		0	Other	Siphoviridae	17.534	68.8	bacteria	MH371124.1	25	25	2018/07/21	2020/09/18	Complete Genome
Mycobacterium phage Sandalphon	2250367		0	Other	Siphoviridae	59.54	61.4	bacteria	NC_051706.1/MH371123.1	104	104	2018/07/21	2020/12/19	Complete Genome
Mycobacterium phage Priya	2250366		0	Other	Siphoviridae	52.949	62.5	bacteria	MH371122.1	97	96	2018/07/21	2020/06/30	Complete Genome
Mycobacterium phage Phranny	2250365		0	Other	Siphoviridae	48.024	64	bacteria	MH371121.1	84	81	2018/07/21	2019/05/10	Complete Genome
Mycobacterium phage OlympiaSaint	2250364		0	Other	Siphoviridae	58.297	61.4	bacteria	NC_051694.1/MH371120.1	107	107	2018/07/21	2020/12/19	Complete Genome
Mycobacterium phage OctaviousRex	2250363		0	Other	Siphoviridae	41.88	66.6	bacteria	MH371119.1	62	62	2018/07/21	2019/05/10	Complete Genome
Microbacterium phage KayPaulus	2250350		0	Other	Siphoviridae	17.455	68.5	bacteria	MH371118.1	25	25	2018/07/21	2020/09/18	Complete Genome
Mycobacterium phage Kahve	2250360		0	Other	Siphoviridae	69.031	66.5	bacteria	MH371117.1	102	102	2018/07/21	2020/11/17	Complete Genome
Mycobacterium phage DMoney	2250358		0	Other	Siphoviridae	41.88	66.6	bacteria	MH371116.1	61	61	2018/07/21	2019/05/10	Complete Genome
Mycobacterium phage Clifton	2250357		0	Other	Siphoviridae	55.727	61.7	bacteria	NC_051643.1/MH371115.1	96	96	2018/07/21	2020/12/19	Complete Genome
Mycobacterium phage Childish	2250356		0	Other	Siphoviridae	69.044	66.5	bacteria	MH371114.1	102	102	2018/07/21	2020/11/17	Complete Genome
Mycobacterium phage Adnama	2250354		0	Other	Siphoviridae	75.208	62.9	bacteria	MH371112.1	150	148	2018/07/21	2020/09/18	Complete Genome
Microbacterium phage Quaker	2250352		0	Other	Siphoviridae	17.45	68.6	bacteria	NC_052939.1/MH371111.1	25	25	2018/07/21	2021/02/11	Complete Genome
Mycobacterium phage Magnar	2250361		0	Other	Siphoviridae	51.428	63.7	bacteria	NC_052441.1/MH371110.1	91	91	2018/07/21	2021/01/23	Complete Genome
Microbacterium phage Lyell	2250351		0	Other	Siphoviridae	62.716	61.6	bacteria	MH371109.1	125	122	2018/07/21	2020/09/18	Complete Genome
Microbacterium phage Fork	2250349		0	Other	Siphoviridae	62.09	61.8	bacteria	MH371108.1	120	117	2018/07/21	2020/09/18	Complete Genome
Mycobacterium phage Doddsville	2250359		0	Other	Siphoviridae	68.243	66.4	bacteria	MH371107.1	98	98	2018/07/21	2020/11/17	Complete Genome
